s.no,family,genus or species code,count,plot,habitat,date,time,inat,sim.indi
67,oxyopidae,oxyopes,2,PIC,disturbed,18/3/22,9:00,,
68,not identified,not identified,1,PIC,disturbed,18/3/22,9:00,,
69,philodromidae,id13,4,PLA,lawn,23/03/22,7:40,https://www.inaturalist.org/observations/107461139,
70,lycosidae,lycosa/paradosa,4,PLA,lawn,23/03/22,7:40,https://www.inaturalist.org/observations/107461140,
71,lycosidae,id14,2,PLA,lawn,23/03/22,7:40,https://www.inaturalist.org/observations/107461124,
72,lycosidae,id1,22,PLB,lawn,10/03/22,7:40,https://www.inaturalist.org/observations/108718168,
73,lycosidae,paradosa,1,PLB,lawn,10/03/22,7:40,https://www.inaturalist.org/observations/108718170,C
74,lycosidae,id17,2,PLB,lawn,10/03/22,7:40,https://www.inaturalist.org/observations/108718169,C
75,lycosidae,hippasa,5,PLB,lawn,10/03/22,7:40,,
76,not identified,not identified,1,PLB,lawn,10/03/22,7:40,,
77,lycosidae,id14,3,PLC,lawn,18/03/22,7:50,,
78,lycosidae,id17,1,PLC,lawn,18/03/22,7:50,,
79,not identified,not identified,1,PLC,lawn,18/03/22,7:50,,
